year,state,sector-name,fuel-name,value,average_temp
2010,Michigan,Residential carbon dioxide emissions,All Fuels,18.94,47.1
2010,Michigan,Commercial carbon dioxide emissions,All Fuels,9.37,47.1
2010,Michigan,Transportation carbon dioxide emissions,All Fuels,50.47,47.1
2010,Michigan,Electric Power carbon dioxide emissions,All Fuels,71.11,47.1
2010,Michigan,Industrial carbon dioxide emissions,All Fuels,17.63,47.1
2010,Minnesota,Residential carbon dioxide emissions,All Fuels,8.33,42.85833333333333
2010,Minnesota,Commercial carbon dioxide emissions,All Fuels,5.74,42.85833333333333
2010,Minnesota,Transportation carbon dioxide emissions,All Fuels,31.14,42.85833333333333
2010,Minnesota,Electric Power carbon dioxide emissions,All Fuels,29.64,42.85833333333333
2010,Minnesota,Industrial carbon dioxide emissions,All Fuels,17.04,42.85833333333333
2010,Mississippi,Residential carbon dioxide emissions,All Fuels,1.96,63.55833333333334
2010,Mississippi,Commercial carbon dioxide emissions,All Fuels,1.54,63.55833333333334
2010,Mississippi,Transportation carbon dioxide emissions,All Fuels,22.63,63.55833333333334
2010,Mississippi,Electric Power carbon dioxide emissions,All Fuels,26.58,63.55833333333334
2010,Mississippi,Industrial carbon dioxide emissions,All Fuels,10.96,63.55833333333334
2010,Missouri,Residential carbon dioxide emissions,All Fuels,6.95,55.25
2010,Missouri,Commercial carbon dioxide emissions,All Fuels,4.08,55.25
2010,Missouri,Transportation carbon dioxide emissions,All Fuels,39.59,55.25
2010,Missouri,Electric Power carbon dioxide emissions,All Fuels,76.85,55.25
2010,Missouri,Industrial carbon dioxide emissions,All Fuels,9.44,55.25
2010,Montana,Residential carbon dioxide emissions,All Fuels,1.64,41.25
2010,Montana,Commercial carbon dioxide emissions,All Fuels,1.24,41.25
2010,Montana,Transportation carbon dioxide emissions,All Fuels,8.12,41.25
2010,Montana,Electric Power carbon dioxide emissions,All Fuels,20.01,41.25
2010,Montana,Industrial carbon dioxide emissions,All Fuels,3.94,41.25
2010,Nebraska,Residential carbon dioxide emissions,All Fuels,2.68,49.03333333333333
2010,Nebraska,Commercial carbon dioxide emissions,All Fuels,1.86,49.03333333333333
2010,Nebraska,Transportation carbon dioxide emissions,All Fuels,14.4,49.03333333333333
2010,Nebraska,Electric Power carbon dioxide emissions,All Fuels,23.33,49.03333333333333
2010,Nebraska,Industrial carbon dioxide emissions,All Fuels,7.73,49.03333333333333
2010,Nevada,Residential carbon dioxide emissions,All Fuels,2.37,49.64166666666667
2010,Nevada,Commercial carbon dioxide emissions,All Fuels,1.83,49.64166666666667
2010,Nevada,Transportation carbon dioxide emissions,All Fuels,17.59,49.64166666666667
2010,Nevada,Electric Power carbon dioxide emissions,All Fuels,16.9,49.64166666666667
2010,Nevada,Industrial carbon dioxide emissions,All Fuels,2.71,49.64166666666667
2010,New Hampshire,Residential carbon dioxide emissions,All Fuels,2.26,45.98333333333333
2010,New Hampshire,Commercial carbon dioxide emissions,All Fuels,1.23,45.98333333333333
2010,New Hampshire,Transportation carbon dioxide emissions,All Fuels,7.09,45.98333333333333
2010,New Hampshire,Electric Power carbon dioxide emissions,All Fuels,5.43,45.98333333333333
2010,New Hampshire,Industrial carbon dioxide emissions,All Fuels,0.73,45.98333333333333
2010,New Jersey,Residential carbon dioxide emissions,All Fuels,14.65,54.81666666666666
